date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:44:04	70/70	---MCZ	200	added ('OK')	text/plain	etag:W/%2260072e94-44%22	https://agrilyze.ca/robots.txt		(from )
05:44:09	98603/98603	---MCZ	200	added ('OK')	text/html	date:Thu,%2010%20Mar%202022%2013:44:08%20GMT	https://agrilyze.ca/solutions-for-greenhouse-farmers/	C:/Users/Lenovo/Desktop/agro/agro/agrilyze.ca/solutions-for-greenhouse-farmers/index.html	(from )
05:44:10	53593/53593	---MCZ	200	added ('OK')	text/css	etag:W/%225eaa7f86-d159%22	https://agrilyze.ca/wp-includes/css/dist/block-library/style.min.css?ver=5.4.9	C:/Users/Lenovo/Desktop/agro/agro/agrilyze.ca/wp-includes/css/dist/block-library/style.mina8c1.css	(from https://agrilyze.ca/solutions-for-greenhouse-farmers/)
05:44:10	311318/311318	---M--	200	added ('OK')	image/jpeg	etag:%225e952d62-4c016%22	https://agrilyze.ca/wp-content/uploads/2020/04/field-of-plants-in-greenhouse-2886937.jpg?id=4978	C:/Users/Lenovo/Desktop/agro/agro/agrilyze.ca/wp-content/uploads/2020/04/field-of-plants-in-greenhouse-2886937fdce.jpg	(from https://agrilyze.ca/solutions-for-greenhouse-farmers/)
05:44:11	1954/1954	---MCZ	200	added ('OK')	text/css	etag:W/%225e9779fa-7a2%22	https://agrilyze.ca/wp-includes/css/dist/block-library/theme.min.css?ver=5.4.9	C:/Users/Lenovo/Desktop/agro/agro/agrilyze.ca/wp-includes/css/dist/block-library/theme.mina8c1.css	(from https://agrilyze.ca/solutions-for-greenhouse-farmers/)
05:44:11	1596/1596	---MCZ	200	added ('OK')	text/css	etag:W/%225fff7e63-780%22	https://agrilyze.ca/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.3.2	C:/Users/Lenovo/Desktop/agro/agro/agrilyze.ca/wp-content/plugins/contact-form-7/includes/css/styles9dff.css	(from https://agrilyze.ca/solutions-for-greenhouse-farmers/)
05:44:11	46584/46584	---MCZ	200	added ('OK')	text/css	etag:W/%225dddba17-db68%22	https://agrilyze.ca/wp-content/plugins/revslider/public/assets/css/rs6.css?ver=6.1.1	C:/Users/Lenovo/Desktop/agro/agro/agrilyze.ca/wp-content/plugins/revslider/public/assets/css/rs66a4d.css	(from https://agrilyze.ca/solutions-for-greenhouse-farmers/)
05:44:12	1302/1302	---MCZ	200	added ('OK')	text/css	etag:W/%226227a79a-5bd%22	https://agrilyze.ca/wp-content/plugins/slider-video/Style/Rich-Web-Video-Slider-Widget.css?ver=5.4.9	C:/Users/Lenovo/Desktop/agro/agro/agrilyze.ca/wp-content/plugins/slider-video/Style/Rich-Web-Video-Slider-Widgeta8c1.css	(from https://agrilyze.ca/solutions-for-greenhouse-farmers/)
05:44:12	33533/33533	---MCZ	200	added ('OK')	text/css	etag:W/%226227a79a-9686%22	https://agrilyze.ca/wp-content/plugins/slider-video/Style/richwebicons.css?ver=5.4.9	C:/Users/Lenovo/Desktop/agro/agro/agrilyze.ca/wp-content/plugins/slider-video/Style/richwebiconsa8c1.css	(from https://agrilyze.ca/solutions-for-greenhouse-farmers/)
05:44:12	66711/66711	---MCZ	200	added ('OK')	text/css	etag:W/%225eac88f9-10497%22	https://agrilyze.ca/wp-content/themes/ave/assets/vendors/liquid-icon/liquid-icon.min.css	C:/Users/Lenovo/Desktop/agro/agro/agrilyze.ca/wp-content/themes/ave/assets/vendors/liquid-icon/liquid-icon.min.css	(from https://agrilyze.ca/solutions-for-greenhouse-farmers/)
